Library	Species	Species_strain	Species_scientific_name	Organ_detail	Organ_group	Developmental_stage	Stage_detail	Timepoint	Group	Sex	Filename	Used_library	Sequencing_runs	Total_number_reads	Total_number_aligned_reads	Percent_aligned_reads	Extraction_protocol	RQN	RIN	HDBR_ID
4608	Opossum	Opossum	Monodelphis_domestica	Hindbrain/Cerebellum	Cerebellum	P90	P90	13	Opossum.Cerebellum.13	Female	4608sTS.Opossum.Cerebellum.90dpb.Female.sorted.bam	yes	WINDU 45 lane 2	52410086	50762645	97%	QIAgen RNeasy DTT	6.8		
4621	Opossum	Opossum	Monodelphis_domestica	Hindbrain/Cerebellum	Cerebellum	P90	P90	13	Opossum.Cerebellum.13	Male	4621sTS.Opossum.Cerebellum.90dpb.Male.sorted.bam	yes	OBIWAN 149 lane 5	53280930	51463773	97%	QIAgen RNeasy DTT	8.7		
5865	Opossum	Opossum	Monodelphis_domestica	Hindbrain/Cerebellum	Cerebellum	P90	P90	13	Opossum.Cerebellum.13	Female	5865sTS.Opossum.Cerebellum.90dpb.Female.sorted.bam	yes	OBIWAN 203 lane 6	46740848	45429952	97%	QIAgen RNeasy DTT	8.3		
5043	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P10	P10	8	Opossum.Kidney.8	Male	5043sTS.Opossum.Kidney.10dpb.Male.sorted.bam	yes	WINDU 38 lane 8	25711465	24749120	96%	QIAgen RNeasy QIAzol	8.2		
5046	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P10	P10	8	Opossum.Kidney.8	Male	5046sTS.Opossum.Kidney.10dpb.Male.sorted.bam	yes	WINDU 45 lane 4	26489343	25520228	96%	QIAgen RNeasy QIAzol	7.9		
5049	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P10	P10	8	Opossum.Kidney.8	Female	5049sTS.Opossum.Kidney.10dpb.Female.sorted.bam	yes	WINDU 38 lane 8	29990490	28954000	97%	QIAgen RNeasy QIAzol	8.2		
4710	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P120	P120	14	Opossum.Kidney.14	Female	4710sTS.Opossum.Kidney.120dpb.Female.sorted.bam	yes	OBIWAN 149 lane 7	32480237	31646570	97%	QIAgen RNeasy QIAzol	7.4		
4767	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P14	P14	9	Opossum.Kidney.9	Female	4767sTS.Opossum.Kidney.14dpb.Female.sorted.bam	yes	WINDU 38 lane 5	45557379	43377190	95%	QIAgen RNeasy QIAzol	8.5		
4770	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P14	P14	9	Opossum.Kidney.9	Female	4770sTS.Opossum.Kidney.14dpb.Female.sorted.bam	yes	WINDU 45 lane 3	39054931	37814013	97%	QIAgen RNeasy QIAzol	8.7		
4773	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P14	P14	9	Opossum.Kidney.9	Female	4773sTS.Opossum.Kidney.14dpb.Female.sorted.bam	yes	WINDU 38 lane 6	29772207	28747363	97%	QIAgen RNeasy QIAzol	8.8		
4776	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P14	P14	9	Opossum.Kidney.9	Male	4776sTS.Opossum.Kidney.14dpb.Male.sorted.bam	yes	WINDU 45 lane 4	30175557	29214171	97%	QIAgen RNeasy QIAzol	9.1		
4214	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P150	P150	15	Opossum.Kidney.15	Male	4214sTS.Opossum.Kidney.150dpb.Male.sorted.bam	yes	WINDU 45 lane 8	46303376	44509576	96%	QIAgen RNeasy QIAzol	6.8		
5862	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P150	P150	15	Opossum.Kidney.15	Female	5862sTS.Opossum.Kidney.150dpb.Female.sorted.bam	yes	OBIWAN 200 lane 4	52528695	51021750	97%	QIAgen RNeasy DTT	6.9		
3954	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P180	P180	15	Opossum.Kidney.15	Male	3954sTS.Opossum.Kidney.180dpb.Male.sorted.bam	yes	VADER 191 lane 5	39560714	37966464	96%	QIAgen RNeasy QIAzol	7.4		
3960	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P180	P180	15	Opossum.Kidney.15	Female	3960sTS.Opossum.Kidney.180dpb.Female.sorted.bam	yes	VADER 191 lane 6	38256321	36782415	96%	QIAgen RNeasy QIAzol	6.2		
3998	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P180	P180	15	Opossum.Kidney.15	Female	3998sTS.Opossum.Kidney.180dpb.Female.sorted.bam	yes	WINDU 10 lane 6	24532152	23932801	98%	QIAgen RNeasy QIAzol	7.3		
4680	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P21	P21	10	Opossum.Kidney.10	Female	4680sTS.Opossum.Kidney.21dpb.Female.sorted.bam	yes	OBIWAN 145 lane 8	31641157	30570599	97%	QIAgen RNeasy QIAzol	8.5		
4761	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P21	P21	10	Opossum.Kidney.10	Male	4761sTS.Opossum.Kidney.21dpb.Male.sorted.bam	yes	WINDU 38 lane 5	32696494	31332481	96%	QIAgen RNeasy QIAzol	8.3		
4667	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P28	P28	11	Opossum.Kidney.11	Female	4667sTS.Opossum.Kidney.28dpb.Female.sorted.bam	yes	WINDU 45 lane 1	38934182	37876226	97%	QIAgen RNeasy QIAzol	8.3		
5879	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P28	P28	11	Opossum.Kidney.11	Female	5879sTS.Opossum.Kidney.28dpb.Female.sorted.bam	yes	OBIWAN 206 lane 7	30828359	29827138	97%	QIAgen RNeasy DTT	9.9		
5880	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P28	P28	11	Opossum.Kidney.11	Male	5880sTS.Opossum.Kidney.28dpb.Male.sorted.bam	yes	OBIWAN 203 lane 3	48985187	46804791	96%	QIAgen RNeasy DTT			
4718	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P42	P42	12	Opossum.Kidney.12	Female	4718sTS.Opossum.Kidney.42dpb.Female.sorted.bam	yes	OBIWAN 158 lane 8	36417282	35041379	96%	QIAgen RNeasy QIAzol	7.3		
4725	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P42	P42	12	Opossum.Kidney.12	Male	4725sTS.Opossum.Kidney.42dpb.Male.sorted.bam	yes	OBIWAN 158 lane 8	24467842	22928554	94%	QIAgen RNeasy QIAzol	6.6		
4644	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P60	P60	12	Opossum.Kidney.12	Female	4644sTS.Opossum.Kidney.60dpb.Female.sorted.bam	yes	OBIWAN 149 lane 6	21940816	20930747	95%	QIAgen RNeasy QIAzol	8.5		
4659	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P60	P60	12	Opossum.Kidney.12	Male	4659sTS.Opossum.Kidney.60dpb.Male.sorted.bam	yes	OBIWAN 149 lane 6	21797769	20964923	96%	QIAgen RNeasy QIAzol	8.1		
4609	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P90	P90	13	Opossum.Kidney.13	Female	4609sTS.Opossum.Kidney.90dpb.Female.sorted.bam	yes	WINDU 45 lane 2	30193955	29385795	97%	QIAgen RNeasy DTT	8.4		
5867	Opossum	Opossum	Monodelphis_domestica	Kidney	Kidney	P90	P90	13	Opossum.Kidney.13	Female	5867sTS.Opossum.Kidney.90dpb.Female.sorted.bam	yes	OBIWAN 198 lane 6	30073184	29420946	98%	QIAgen RNeasy DTT	8.4		
5192	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	e13.5	e13.5	1	Opossum.Liver.1	Male	5192sTS.Opossum.Liver.13.5.Male.sorted.bam	yes	WINDU 45 lane 5	29866614	28915366	97%	QIAgen RNeasy QIAzol	9.0		
5336	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	e13.5	e13.5	1	Opossum.Liver.1	Female	5336sTS.Opossum.Liver.13.5.Female.sorted.bam	yes	WINDU 45 lane 6	38428333	36796101	96%	QIAgen RNeasy QIAzol	9.3		
5041	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P0	P0	2	Opossum.Liver.2	Male	5041sTS.Opossum.Liver.0dpb.Male.sorted.bam	yes	WINDU 45 lane 4	32540180	31864434	98%	QIAgen RNeasy QIAzol	9.0		
5044	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P10	P10	8	Opossum.Liver.8	Male	5044sTS.Opossum.Liver.10dpb.Male.sorted.bam	yes	WINDU 38 lane 8	33230616	32266854	97%	QIAgen RNeasy QIAzol	8.7		
5047	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P10	P10	8	Opossum.Liver.8	Male	5047sTS.Opossum.Liver.10dpb.Male.sorted.bam	yes	WINDU 45 lane 4	32777523	31679180	97%	QIAgen RNeasy QIAzol	8.9		
5050	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P10	P10	8	Opossum.Liver.8	Female	5050sTS.Opossum.Liver.10dpb.Female.sorted.bam	yes	WINDU 38 lane 8	34281778	33001016	96%	QIAgen RNeasy QIAzol	8.6		
5589	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P10	P10	8	Opossum.Liver.8	Female	5589sTS.Opossum.Liver.10dpb.Female.sorted.bam	yes	WINDU 65 lane 8	67908245	64626920	95%	QIAgen RNeasy DTT	8.7		
4469	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P120	P120	14	Opossum.Liver.14	Female	4469sTS.Opossum.Liver.120dpb.Female.sorted.bam	yes	WINDU 45 lane 8	22030856	21102029	96%	QIAgen RNeasy DTT	9.0		
4601	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P120	P120	14	Opossum.Liver.14	Male	4601sTS.Opossum.Liver.120dpb.Male.sorted.bam	yes	WINDU 45 lane 2	36509527	35146203	96%	QIAgen RNeasy DTT	8.9		
5856	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P120	P120	14	Opossum.Liver.14	Female	5856sTS.Opossum.Liver.120dpb.Female.sorted.bam	yes	OBIWAN 203 lane 8	111060591	106745810	96%	QIAgen RNeasy DTT	8.7		
4768	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P14	P14	9	Opossum.Liver.9	Female	4768sTS.Opossum.Liver.14dpb.Female.sorted.bam	yes	WINDU 38 lane 6	35385112	34536272	98%	QIAgen RNeasy QIAzol	8.2		
4774	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P14	P14	9	Opossum.Liver.9	Female	4774sTS.Opossum.Liver.14dpb.Female.sorted.bam	yes	WINDU 38 lane 6	35388625	34400990	97%	QIAgen RNeasy QIAzol	7.0		
4211	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P150	P150	15	Opossum.Liver.15	Female	4211sTS.Opossum.Liver.150dpb.Female.sorted.bam	yes	WINDU 45 lane 8	26263787	25379250	97%	QIAgen RNeasy QIAzol	8.0		
4215	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P150	P150	15	Opossum.Liver.15	Male	4215sTS.Opossum.Liver.150dpb.Male.sorted.bam	yes	WINDU 45 lane 8	29037645	28090107	97%	QIAgen RNeasy QIAzol	7.7		
5863	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P150	P150	15	Opossum.Liver.15	Female	5863sTS.Opossum.Liver.150dpb.Female.sorted.bam	yes	OBIWAN 206 lane 8	37028479	35990015	97%	QIAgen RNeasy DTT	8.5		
3955	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P180	P180	15	Opossum.Liver.15	Male	3955sTS.Opossum.Liver.180dpb.Male.sorted.bam	yes	VADER 191 lane 5	31727886	30727685	97%	QIAgen RNeasy QIAzol	8.3		
3961	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P180	P180	15	Opossum.Liver.15	Female	3961sTS.Opossum.Liver.180dpb.Female.sorted.bam	yes	VADER 191 lane 6	18942219	18366634	97%	QIAgen RNeasy QIAzol	8.1		
3991	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P180	P180	15	Opossum.Liver.15	Male	3991sTS.Opossum.Liver.180dpb.Male.sorted.bam	yes	WINDU 11 lane 3	41910972	41030210	98%	QIAgen RNeasy QIAzol	8.1		
3997	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P180	P180	15	Opossum.Liver.15	Female	3997sTS.Opossum.Liver.180dpb.Female.sorted.bam	yes	WINDU 10 lane 6	41860947	41032611	98%	QIAgen RNeasy QIAzol	8.1		
5211	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P2	P2	3	Opossum.Liver.3	Female	5211sTS.Opossum.Liver.2dpb.Female.sorted.bam	yes	WINDU 39 lane 3	30233574	29278192	97%	QIAgen RNeasy QIAzol	5.5		
5213	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P2	P2	3	Opossum.Liver.3	Male	5213sTS.Opossum.Liver.2dpb.Male.sorted.bam	yes	WINDU 39 lane 3	39938709	37019027	93%	QIAgen RNeasy QIAzol	6.9		
5338	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P2	P2	3	Opossum.Liver.3	Female	5338sTS.Opossum.Liver.2dpb.Female.sorted.bam	yes	WINDU 45 lane 6	33457412	32212174	96%	QIAgen RNeasy QIAzol	6.1		
5340	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P2	P2	3	Opossum.Liver.3	Male	5340sTS.Opossum.Liver.2dpb.Male.sorted.bam	yes	WINDU 45 lane 6	27059053	26056356	96%	QIAgen RNeasy QIAzol	5.9		
4681	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P21	P21	10	Opossum.Liver.10	Female	4681sTS.Opossum.Liver.21dpb.Female.sorted.bam	yes	OBIWAN 145 lane 8	36207553	34788755	96%	QIAgen RNeasy QIAzol	8.4		
4759	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P21	P21	10	Opossum.Liver.10	Female	4759sTS.Opossum.Liver.21dpb.Female.sorted.bam	yes	WINDU 45 lane 3	29681366	28914534	97%	QIAgen RNeasy QIAzol	8.4		
4762	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P21	P21	10	Opossum.Liver.10	Male	4762sTS.Opossum.Liver.21dpb.Male.sorted.bam	yes	WINDU 38 lane 5	38558842	36982368	96%	QIAgen RNeasy QIAzol	8.3		
4664	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P28	P28	11	Opossum.Liver.11	Female	4664sTS.Opossum.Liver.28dpb.Female.sorted.bam	yes	OBIWAN 145 lane 8	27864792	27075017	97%	QIAgen RNeasy QIAzol	8.2		
4673	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P28	P28	11	Opossum.Liver.11	Male	4673sTS.Opossum.Liver.28dpb.Male.sorted.bam	yes	OBIWAN 145 lane 8	29661556	28916105	97%	QIAgen RNeasy QIAzol	7.7		
4546	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P4	P4	5	Opossum.Liver.5	Female	4546sTS.Opossum.Liver.4dpb.Female.sorted.bam	yes	WINDU 37 lane 6	39298116	37943150	97%	QIAgen RNeasy QIAzol	7.7		
5133	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P4	P4	5	Opossum.Liver.5	Male	5133sTS.Opossum.Liver.4dpb.Male.sorted.bam	yes	WINDU 38 lane 8	30540951	29481949	97%	QIAgen RNeasy QIAzol	7.3		
5199	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P4	P4	5	Opossum.Liver.5	Female	5199sTS.Opossum.Liver.4dpb.Female.sorted.bam	yes	WINDU 45 lane 5	36812390	35180294	96%	QIAgen RNeasy QIAzol	6.9		
5201	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P4	P4	5	Opossum.Liver.5	Male	5201sTS.Opossum.Liver.4dpb.Male.sorted.bam	yes	WINDU 45 lane 5	40085780	38836593	97%	QIAgen RNeasy QIAzol	5.8		
5884	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P42	P42	12	Opossum.Liver.12	Female	5884sTS.Opossum.Liver.42dpb.Female.sorted.bam	yes	OBIWAN 198 lane 5	36793187	36075338	98%	QIAgen RNeasy DTT	8.1		
5135	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P6	P6	7	Opossum.Liver.7	Female	5135sTS.Opossum.Liver.6dpb.Female.sorted.bam	yes	WINDU 45 lane 5	34931958	33726576	97%	QIAgen RNeasy QIAzol	8.3		
5138	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P6	P6	7	Opossum.Liver.7	Female	5138sTS.Opossum.Liver.6dpb.Female.sorted.bam	yes	WINDU 39 lane 1	31185668	30249789	97%	QIAgen RNeasy QIAzol	8.1		
5143	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P6	P6	7	Opossum.Liver.7	Male	5143sTS.Opossum.Liver.6dpb.Male.sorted.bam	yes	WINDU 39 lane 1	30850880	29897353	97%	QIAgen RNeasy QIAzol	8.1		
5209	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P6	P6	7	Opossum.Liver.7	Male	5209sTS.Opossum.Liver.6dpb.Male.sorted.bam	yes	WINDU 45 lane 6	39508203	38363731	97%	QIAgen RNeasy QIAzol	8.6		
4660	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P60	P60	12	Opossum.Liver.12	Male	4660sTS.Opossum.Liver.60dpb.Male.sorted.bam	yes	OBIWAN 149 lane 7	35816842	34662166	97%	QIAgen RNeasy QIAzol	8.2		
5851	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P60	P60	12	Opossum.Liver.12	Female	5851sTS.Opossum.Liver.60dpb.Female.sorted.bam	yes	OBIWAN 198 lane 2	28077469	27395818	98%	QIAgen RNeasy DTT	8.7		
5872	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P60	P60	12	Opossum.Liver.12	Female	5872sTS.Opossum.Liver.60dpb.Female.sorted.bam	yes	OBIWAN 200 lane 5	30862947	29885637	97%	QIAgen RNeasy DTT	8.9		
4610	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P90	P90	13	Opossum.Liver.13	Female	4610sTS.Opossum.Liver.90dpb.Female.sorted.bam	yes	WINDU 45 lane 2	41576502	39947710	96%	QIAgen RNeasy DTT	8.8		
4637	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P90	P90	13	Opossum.Liver.13	Male	4637sTS.Opossum.Liver.90dpb.Male.sorted.bam	yes	OBIWAN 149 lane 6	32309068	31657870	98%	QIAgen RNeasy QIAzol	8.6		
5868	Opossum	Opossum	Monodelphis_domestica	Liver	Liver	P90	P90	13	Opossum.Liver.13	Female	5868sTS.Opossum.Liver.90dpb.Female.sorted.bam	yes	OBIWAN 200 lane 4	36164103	35088166	97%	QIAgen RNeasy DTT	8.5		
5324	Opossum	Opossum	Monodelphis_domestica	Ovary	Ovary	P10	P10	8	Opossum.Ovary.8	Female	5324sTS.Opossum.Ovary.10dpb.Female.sorted.bam	yes	WINDU 41 lane 1	38329860	36837552	96%	QIAgen RNeasy QIAzol	7.5		
5592	Opossum	Opossum	Monodelphis_domestica	Ovary	Ovary	P10	P10	8	Opossum.Ovary.8	Female	5592sTS.Opossum.Ovary.10dpb.Female.sorted.bam	yes	WINDU 66 lane 3	25671148	24343118	95%	QIAgen RNeasy DTT	7.9		
4471	Opossum	Opossum	Monodelphis_domestica	Ovary	Ovary	P120	P120	14	Opossum.Ovary.14	Female	4471sTS.Opossum.Ovary.120dpb.Female.sorted.bam	yes	WINDU 45 lane 8	27790521	26700507	96%	QIAgen RNeasy DTT	9.4		
5853	Opossum	Opossum	Monodelphis_domestica	Ovary	Ovary	P120	P120	14	Opossum.Ovary.14	Female	5853sTS.Opossum.Ovary.120dpb.Female.sorted.bam	yes	OBIWAN 206 lane 7	26480100	25736165	97%	QIAgen RNeasy DTT	8.9		
4952	Opossum	Opossum	Monodelphis_domestica	Ovary	Ovary	P14	P14	9	Opossum.Ovary.9	Female	4952sTS.Opossum.Ovary.14dpb.Female.sorted.bam	yes	WINDU 38 lane 7	31313840	30069374	96%	QIAgen RNeasy QIAzol	7.8		
4953	Opossum	Opossum	Monodelphis_domestica	Ovary	Ovary	P14	P14	9	Opossum.Ovary.9	Female	4953sTS.Opossum.Ovary.14dpb.Female.sorted.bam	yes	WINDU 41 lane 1	24858884	24289622	98%	QIAgen RNeasy QIAzol	7.6		
4208	Opossum	Opossum	Monodelphis_domestica	Ovary	Ovary	P150	P150	15	Opossum.Ovary.15	Female	4208sTS.Opossum.Ovary.150dpb.Female.sorted.bam	yes	WINDU 45 lane 7	46293618	44895227	97%	QIAgen RNeasy QIAzol	7.6		
5860	Opossum	Opossum	Monodelphis_domestica	Ovary	Ovary	P150	P150	15	Opossum.Ovary.15	Female	5860sTS.Opossum.Ovary.150dpb.Female.sorted.bam	yes	OBIWAN 198 lane 3	32188631	31545861	98%	QIAgen RNeasy DTT	9.2		
3999	Opossum	Opossum	Monodelphis_domestica	Ovary	Ovary	P180	P180	15	Opossum.Ovary.15	Female	3999sTS.Opossum.Ovary.180dpb.Female.sorted.bam	yes	WINDU 10 lane 6	19155663	18684568	98%	QIAgen RNeasy QIAzol	8.5		
4491	Opossum	Opossum	Monodelphis_domestica	Ovary	Ovary	P2	P2	3	Opossum.Ovary.3	Female	4491sTS.Opossum.Ovary.2dpb.Female.sorted.bam	yes	OBIWAN 145 lane 7	31964900	29079409	91%	QIAgen RNeasy DTT	9.1		
4956	Opossum	Opossum	Monodelphis_domestica	Ovary	Ovary	P21	P21	10	Opossum.Ovary.10	Female	4956sTS.Opossum.Ovary.21dpb.Female.sorted.bam	yes	WINDU 38 lane 7	30526755	29251552	96%	QIAgen RNeasy QIAzol	7.3		
4957	Opossum	Opossum	Monodelphis_domestica	Ovary	Ovary	P21	P21	10	Opossum.Ovary.10	Female	4957sTS.Opossum.Ovary.21dpb.Female.sorted.bam	yes	WINDU 45 lane 4	30988747	30392667	98%	QIAgen RNeasy QIAzol	7.8		
4665	Opossum	Opossum	Monodelphis_domestica	Ovary	Ovary	P28	P28	11	Opossum.Ovary.11	Female	4665sTS.Opossum.Ovary.28dpb.Female.sorted.bam	yes	OBIWAN 145 lane 8	26932824	26167105	97%	QIAgen RNeasy QIAzol	7.1		
4541	Opossum	Opossum	Monodelphis_domestica	Ovary	Ovary	P4	P4	5	Opossum.Ovary.5	Female	4541sTS.Opossum.Ovary.4dpb.Female.sorted.bam	yes	WINDU 37 lane 6	34078169	32710586	96%	QIAgen RNeasy QIAzol	7.2		
5325	Opossum	Opossum	Monodelphis_domestica	Ovary	Ovary	P4	P4	5	Opossum.Ovary.5	Female	5325sTS.Opossum.Ovary.4dpb.Female.sorted.bam	yes	WINDU 42 lane 6	16300488	15826634	97%	QIAgen RNeasy QIAzol	7.4		
5881	Opossum	Opossum	Monodelphis_domestica	Ovary	Ovary	P42	P42	12	Opossum.Ovary.12	Female	5881sTS.Opossum.Ovary.42dpb.Female.sorted.bam	yes	OBIWAN 206 lane 7	35123058	34402497	98%	QIAgen RNeasy DTT	8.9		
4951	Opossum	Opossum	Monodelphis_domestica	Ovary	Ovary	P6	P6	7	Opossum.Ovary.7	Female	4951sTS.Opossum.Ovary.6dpb.Female.sorted.bam	yes	WINDU 38 lane 7	26171042	25360882	97%	QIAgen RNeasy QIAzol	8.1		
5326	Opossum	Opossum	Monodelphis_domestica	Ovary	Ovary	P6	P6	7	Opossum.Ovary.7	Female	5326sTS.Opossum.Ovary.6dpb.Female.sorted.bam	yes	WINDU 42 lane 6	17319265	16527322	95%	QIAgen RNeasy QIAzol	7.4		
5870	Opossum	Opossum	Monodelphis_domestica	Ovary	Ovary	P60	P60	12	Opossum.Ovary.12	Female	5870sTS.Opossum.Ovary.60dpb.Female.sorted.bam	yes	OBIWAN 198 lane 6	37580932	36335705	97%	QIAgen RNeasy DTT	9.4		
4613	Opossum	Opossum	Monodelphis_domestica	Ovary	Ovary	P90	P90	13	Opossum.Ovary.13	Female	4613sTS.Opossum.Ovary.90dpb.Female.sorted.bam	yes	WINDU 45 lane 2	27519011	26380636	96%	QIAgen RNeasy DTT	9.5		
5601	Opossum	Opossum	Monodelphis_domestica	Testis	Testis	P10	P10	8	Opossum.Testis.8	Male	5601sTS.Opossum.Testis.10dpb.Male.sorted.bam	yes	WINDU 76 lane 7	26999096	25110883	93%	QIAgen RNeasy DTT	8.8		
5854	Opossum	Opossum	Monodelphis_domestica	Testis	Testis	P120	P120	14	Opossum.Testis.14	Male	5854sTS.Opossum.Testis.120dpb.Male.sorted.bam	yes	OBIWAN 206 lane 8	60611064	58642118	97%	QIAgen RNeasy DTT	9.0		
4954	Opossum	Opossum	Monodelphis_domestica	Testis	Testis	P14	P14	9	Opossum.Testis.9	Male	4954sTS.Opossum.Testis.14dpb.Male.sorted.bam	yes	WINDU 38 lane 7	26200673	25324774	97%	QIAgen RNeasy QIAzol	7.7		
5877	Opossum	Opossum	Monodelphis_domestica	Testis	Testis	P14	P14	9	Opossum.Testis.9	Male	5877sTS.Opossum.Testis.14dpb.Male.sorted.bam	yes	OBIWAN 203 lane 7	24408544	23443803	96%	QIAgen RNeasy DTT	7.3		
4212	Opossum	Opossum	Monodelphis_domestica	Testis	Testis	P150	P150	15	Opossum.Testis.15	Male	4212sTS.Opossum.Testis.150dpb.Male.sorted.bam	yes	WINDU 45 lane 7	48006164	46304085	96%	QIAgen RNeasy QIAzol	7.9		
3956	Opossum	Opossum	Monodelphis_domestica	Testis	Testis	P180	P180	15	Opossum.Testis.15	Male	3956sTS.Opossum.Testis.180dpb.Male.sorted.bam	yes	VADER 191 lane 6	52103410	50255481	96%	QIAgen RNeasy QIAzol	8.5		
3993	Opossum	Opossum	Monodelphis_domestica	Testis	Testis	P180	P180	15	Opossum.Testis.15	Male	3993sTS.Opossum.Testis.180dpb.Male.sorted.bam	yes	WINDU 10 lane 6	33718138	32878097	98%	QIAgen RNeasy QIAzol	8.4		
4492	Opossum	Opossum	Monodelphis_domestica	Testis	Testis	P2	P2	3	Opossum.Testis.3	Male	4492sTS.Opossum.Testis.2dpb.Male.sorted.bam	yes	OBIWAN 145 lane 7	29745282	27011053	91%	QIAgen RNeasy DTT	8.4		
5329	Opossum	Opossum	Monodelphis_domestica	Testis	Testis	P21	P21	10	Opossum.Testis.10	Male	5329sTS.Opossum.Testis.21dpb.Male.sorted.bam	yes	WINDU 41 lane 1	51492523	46891371	91%	QIAgen RNeasy QIAzol	8.1		
5330	Opossum	Opossum	Monodelphis_domestica	Testis	Testis	P21	P21	10	Opossum.Testis.10	Male	5330sTS.Opossum.Testis.21dpb.Male.sorted.bam	yes	WINDU 45 lane 6	42857279	41162348	96%	QIAgen RNeasy QIAzol	8.8		
4677	Opossum	Opossum	Monodelphis_domestica	Testis	Testis	P28	P28	11	Opossum.Testis.11	Male	4677sTS.Opossum.Testis.28dpb.Male.sorted.bam	yes	OBIWAN 145 lane 8	23816689	23040983	97%	QIAgen RNeasy QIAzol	9.0		
4678	Opossum	Opossum	Monodelphis_domestica	Testis	Testis	P28	P28	11	Opossum.Testis.11	Male	4678sTS.Opossum.Testis.28dpb.Male.sorted.bam	yes	WINDU 45 lane 1	53148904	51735303	97%	QIAgen RNeasy QIAzol	9.1		
4542	Opossum	Opossum	Monodelphis_domestica	Testis	Testis	P4	P4	5	Opossum.Testis.5	Male	4542sTS.Opossum.Testis.4dpb.Male.sorted.bam	yes	WINDU 37 lane 6	33998259	32879872	97%	QIAgen RNeasy QIAzol	7.7		
5331	Opossum	Opossum	Monodelphis_domestica	Testis	Testis	P4	P4	5	Opossum.Testis.5	Male	5331sTS.Opossum.Testis.4dpb.Male.sorted.bam	yes	WINDU 41 lane 8	96423852	93502183	97%	QIAgen RNeasy QIAzol	8.1		
